exam_id,exam_title,student_session_id,student_name,student_number,status,score,maximum,released_at
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,2f4f3c26-e8f1-4d8b-94dd-b467eb5e1b6f,Audit Student 1-1,E01-S01,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,5d870029-865f-4ee6-aa12-8f83d9dcc6c6,Audit Student 1-2,E01-S02,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,82770a2c-2931-404b-8532-44d9d0935a8b,Audit Student 1-3,E01-S03,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,bf890a35-5a4e-4806-987d-a8f1c4b93dbf,Audit Student 1-4,E01-S04,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,20efdd95-179f-49da-a5e2-3ccaae7c3c96,Audit Student 1-5,E01-S05,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,6d4a052b-9509-4846-a57d-533a56a32d58,Audit Student 1-6,E01-S06,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,54462f5d-1370-4180-934d-7e812d863395,Audit Student 1-7,E01-S07,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,eceb796b-25b9-47ed-8353-8473c05bb4aa,Audit Student 1-8,E01-S08,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,d1e49ec0-0c38-45c6-a43f-979ddda71661,Audit Student 1-9,E01-S09,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,e7eb1ebd-185d-4b50-9480-f8641e1c8d1f,Audit Student 1-10,E01-S10,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,1f22d69a-c888-41c7-8028-3b659172a8ae,Audit Student 1-11,E01-S11,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,174c01ce-58b7-4cc8-b44b-6b6124fd9fab,Audit Student 1-12,E01-S12,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,79d87c1d-8ddf-4435-9e9d-ed39c2cb94d0,Audit Student 1-13,E01-S13,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,2fade981-e911-4109-bf35-9340f1fc25fa,Audit Student 1-14,E01-S14,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,61e18686-ac5f-44f7-891c-93927331e6a4,Audit Student 1-15,E01-S15,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,2f853faa-71f0-499b-9a7c-50b7125639ad,Audit Student 1-16,E01-S16,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,d994e1b4-16e1-4919-897a-bb715b7148bf,Audit Student 1-17,E01-S17,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,58538c01-dcfa-4cd0-a4a3-116003f4ba46,Audit Student 1-18,E01-S18,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,673e8947-7b5b-44f0-b5a5-37ab10c02641,Audit Student 1-19,E01-S19,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,311ac304-518c-4f13-8c86-3ada7f7ada92,Audit Student 1-20,E01-S20,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,aaf7eb75-d30b-4343-86f7-6ec203775809,Audit Student 1-21,E01-S21,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,a37f0834-3382-4afa-b665-bc6469254a6f,Audit Student 1-22,E01-S22,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,6a577846-68a7-407d-ace3-f34628c9dd6d,Audit Student 1-23,E01-S23,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,e1873db9-2ca0-40d2-bd9d-a8995927c231,Audit Student 1-24,E01-S24,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,5d814492-f083-4169-b7c8-9457d633649d,Audit Student 1-25,E01-S25,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,59dd654b-a2f7-423c-bf11-62351e43d5cd,Audit Student 1-26,E01-S26,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,0f1e5462-1e59-4428-8cdc-5f8421546c9b,Audit Student 1-27,E01-S27,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,1a02e710-519b-44eb-b9ea-afeb27c2a8e6,Audit Student 1-28,E01-S28,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,d82f238d-ee73-4b41-a477-7e055feced45,Audit Student 1-29,E01-S29,released,100,100,2026-08-26T20:11:40.789Z
f945dd2b-7ff7-4870-bd16-3b447700858f,Commercial audit examination 01,3edf6a96-84e6-48fa-9858-596bb6b3d114,Audit Student 1-30,E01-S30,released,100,100,2026-08-26T20:11:40.789Z
